מספר הסקר,תאריך,משיבים,כלי תקשורת,עורך משאלים,הליכוד,הציונות הדתית,יהדות התורה,"ש""ס",ישראל ביתנו,המחנה הממלכתי,יש עתיד,מרצ,עבודה,עוצמה,המשותפת,"רע""מ",הרוח הציונית,תקווה חדשה
48,06/04/2022,550,כאן חדשות,דודי חסיד,35,8,7,8,4,8,19,5,5,,6,4,6.0,5.0
49,06/04/2022,500,חדשות 12,מנו גבע,35,7,7,9,5,8,17,5,7,,6,5,5.0,4.0
50,06/04/2022,706,חדשות 13,קמיל פוקס,38,8,7,7,6,9,17,5,6,,6,4,7.0,0.0
51,07/04/2022,1051,ערוץ 14,דירקט פולס,35,9,8,10,6,8,20,5,7,,7,5,0.0,0.0
52,08/04/2022,506,מעריב,מנחם לזר,37,9,7,7,5,7,18,5,6,,6,4,5.0,4.0
53,08/04/2022,502,ישראל היום,יצחק כץ,35,8,8,9,6,8,19,4,8,,6,4,5.0,0.0
54,03/05/2022,500,גלי ישראל,רפי סמית,36,8,7,8,6,7,20,5,7,,6,5,5.0,0.0
55,09/05/2022,700,חדשות 13,קמיל פוקס,36,9,7,7,5,7,18,5,6,,8,0,8.0,4.0
56,22/05/2022,508,103FM,מנחם לזר,36,9,7,8,5,8,18,0,8,,7,4,6.0,4.0
57,27/05/2022,1007,JPost,מנחם לזר,35,9,7,8,5,8,20,0,7,,7,4,6.0,4.0
58,27/05/2022,500,חדשות 12,מנו גבע,35,8,7,9,5,10,17,4,6,,6,4,5.0,4.0
59,07/06/2022,552,כאן חדשות,דודי חסיד,35,10,7,8,5,8,20,4,7,,6,4,6.0,0.0
60,10/06/2022,519,מעריב,מנחם לזר,34,11,7,8,5,8,21,0,6,,7,4,5.0,4.0
61,10/06/2022,801,חדשות 13,קמיל פוקס,36,9,7,8,5,8,20,4,6,,7,0,6.0,4.0
62,13/06/2022,500,חדשות 12,מנו גבע,36,9,7,8,5,10,20,4,6,,5,5,5.0,0.0
63,21/06/2022,516,103FM,מנחם לזר,36,10,6,7,5,8,20,0,7,,6,4,7.0,4.0
64,21/06/2022,550,כאן חדשות,דודי חסיד,36,9,7,8,5,9,21,0,6,,6,4,5.0,4.0
65,21/06/2022,500,חדשות 12,מנו גבע,35,9,7,8,5,9,20,4,6,,5,4,4.0,4.0
66,21/06/2022,701,חדשות 13,קמיל פוקס,35,9,7,8,5,7,22,4,5,,6,4,4.0,4.0
67,21/06/2022,1084,ערוץ 14,דירקט פולס,36,9,7,8,6,7,20,4,5,,6,4,4.0,4.0
68,24/06/2022,727,מעריב,מנחם לזר,34,9,7,7,5,8,21,4,7,,6,4,4.0,4.0
69,29/06/2022,505,חדשות 12,מנו גבע,34,9,7,8,5,9,20,4,5,,6,4,5.0,4.0
70,01/07/2022,593,מעריב,מנחם לזר,34,10,7,8,5,9,22,0,6,,6,4,4.0,5.0
71,03/07/2022,550,כאן חדשות,דודי חסיד,34,10,7,8,5,8,21,4,5,,6,4,4.0,4.0
72,08/07/2022,711,מעריב,מנחם לזר,36,10,7,8,6,9,23,0,6,,6,4,0.0,5.0
73,11/07/2022,565,כאן חדשות,דודי חסיד,34,10,7,8,5,14,23,4,5,,6,4,0.0,
74,11/07/2022,506,חדשות 12,מנו גבע,34,10,7,8,6,13,23,4,5,,6,4,0.0,
75,13/07/2022,1135,ערוץ 14,שלמה פילבר,36,9,7,9,6,14,20,4,5,,5,5,0.0,
76,15/07/2022,711,מעריב,מנחם לזר,36,10,7,8,6,13,24,0,6,,6,4,0.0,
77,17/07/2022,703,חדשות 13,קמיל פוקס,34,10,6,8,6,12,22,5,6,,6,4,0.0,
78,22/07/2022,709,מעריב,מנחם לזר,35,10,6,8,6,12,24,4,5,,6,4,0.0,
79,24/07/2022,557,כאן חדשות,דודי חסיד,35,10,7,8,5,12,22,5,6,,6,4,0.0,
80,26/07/2022,721,חדשות 13,קמיל פוקס,35,11,6,8,5,13,24,4,4,,6,4,0.0,
81,28/07/2022,503,חדשות 12,מנו גבע,33,9,7,8,5,11,23,5,5,,6,4,4.0,
82,29/07/2022,701,מעריב,מנחם לזר,35,10,6,8,5,11,23,4,4,,6,4,4.0,
83,31/07/2022,500,רדיו ירושלים,מאגר מוחות,34,11,7,9,5,12,22,4,6,,6,4,0.0,
84,31/07/2022,425,ערוץ 14,דירקט פולס,34,11,7,9,6,13,21,4,5,,5,5,0.0,
85,04/08/2022,1139,ערוץ 14,דירקט פולס,34,11,7,9,5,12,23,4,5,,5,5,0.0,
86,04/08/2022,701,חדשות 13,קמיל פוקס,35,12,7,8,5,12,21,4,6,,6,4,0.0,
87,05/08/2022,700,מעריב,מנחם לזר,34,9,7,8,5,11,23,4,5,,6,4,4.0,
88,08/08/2022,500,חדשות 12,מנו גבע,34,10,7,8,5,12,24,4,5,,6,5,0.0,
89,08/08/2022,642,כאן חדשות,דודי חסיד,33,11,7,8,6,12,23,5,5,,6,4,0.0,
90,08/08/2022,702,חדשות 13,קמיל פוקס,34,11,7,7,5,11,22,4,5,,6,4,4.0,
91,12/08/2022,717,מעריב,מנחם לזר,33,10,7,9,5,10,25,0,7,,6,4,4.0,
92,14/08/2022,652,כאן חדשות,דודי חסיד,35,9,7,8,5,14,22,4,5,,6,5,0.0,
93,14/08/2022,507,חדשות 12,מנו גבע,34,10,7,8,5,14,23,4,5,,6,4,0.0,
94,14/08/2022,702,חדשות 13,קמיל פוקס,34,11,7,8,4,12,23,4,6,,6,5,0.0,
95,14/08/2022,980,ערוץ 14,דירקט פולס,34,11,7,9,5,13,22,4,5,,5,5,0.0,
96,19/08/2022,737,מעריב,מנחם לזר,32,5,7,8,5,12,25,4,5,7.0,6,4,0.0,
97,24/08/2022,649,כאן חדשות,דודי חסיד,33,4,7,8,5,14,22,5,5,8.0,5,4,0.0,
98,24/08/2022,701,חדשות 13,קמיל פוקס,30,7,7,8,6,12,23,4,5,9.0,5,4,0.0,
99,24/08/2022,500,חדשות 12,מנו גבע,34,0,7,8,5,13,23,6,5,9.0,5,5,0.0,
100,24/08/2022,614,ערוץ 14,דירקט פולס,35,5,7,9,6,12,22,4,5,5.0,6,4,0.0,
101,26/08/2022,715,מעריב,מנחם לזר,31,4,7,8,5,13,23,5,6,8.0,6,4,0.0,
102,26/08/2022,501,קשת 12,מנו גבע,34,9,7,8,5,13,23,6,5,,5,5,0.0,
106,28/08/2022,512,103FM,מנחם לזר,32,12,7,8,5,13,23,5,5,,6,4,0.0,
107,31/08/2022,505,חדשות 12,מנו גבע,33,11,7,8,6,12,24,5,5,,5,4,0.0,
108,01/09/2022,701,חדשות 13,קמיל פוקס,32,12,7,8,6,13,24,4,5,,5,4,0.0,
109,02/09/2022,703,מעריב,מנחם לזר,31,13,6,8,5,13,24,5,5,,6,4,0.0,
110,04/09/2022,500,ערוץ 14,דירקט פולס,33,10,7,10,6,12,22,5,5,,6,4,0.0,
111,09/09/2022,704,מעריב,מנחם לזר,31,13,7,8,5,12,25,5,4,,6,4,0.0,
112,10/09/2022,504,חדשות 12,מנו גבע,32,11,7,9,5,12,23,6,5,,5,5,0.0,
113,11/09/2022,616,ערוץ 14,דירקט פולס,34,11,7,9,5,12,23,5,4,,6,4,0.0,
114,12/09/2022,500,ישראל היום,מאגר מוחות,33,12,7,7,4,12,23,5,7,,6,4,0.0,
115,13/09/2022,720,מאקו,מנחם לזר,32,11,6,8,5,12,26,5,6,,5,4,0.0,
116,13/09/2022,650,כאן חדשות,דודי חסיד,32,12,7,9,5,12,24,5,5,,5,4,0.0,
117,14/09/2022,781,חדשות 13,קמיל פוקס,31,13,7,8,6,12,24,5,5,,5,4,0.0,
118,15/09/2022,645,ערוץ 14,דירקט פולס,34,11,7,9,6,12,22,5,5,,5,4,0.0,
119,16/09/2022,700,מעריב,מנחם לזר,31,11,7,8,6,12,25,5,5,,6,4,0.0,
120,16/09/2022,629,חדשות 12,מנו גבע,33,12,7,8,6,12,23,5,6,,4,4,,
121,16/09/2022,691,חדשות 13,קמיל פוקס,32,13,7,8,6,12,24,5,5,,4,4,,
122,17/09/2022,702,כאן 11,דודי חסיד,33,12,7,8,5,12,24,5,6,,4,4,,
123,18/09/2022,616,ערוץ 14,דירקט פולס,34,12,7,9,6,13,22,4,5,,4,4,,
124,21/09/2022,706,מאקו,מנחם לזר,33,12,7,8,6,12,24,5,5,,4,4,,
125,22/09/2022,702,ערוץ 13,קמיל פוקס,32,14,7,8,5,11,25,5,5,,4,4,,
126,22/09/2022,508,ערוץ 12,מנו גבע,34,11,7,8,6,12,23,5,5,,4,5,,
127,22/09/2022,500,ערוץ 14,דירקט פולס,34,12,7,9,6,13,23,4,4,,4,4,,
128,23/09/2022,703,מעריב,מנחם לזר,33,12,7,8,5,12,24,5,6,,4,4,,
129,28/09/2022,600,חדשות 12,מנו גבע,32,12,7,8,6,13,24,5,5,,4,4,,
130,29/09/2022,700,ערוץ הכנסת,מנחם לזר,32,13,7,8,6,12,24,5,5,,4,4,,
131,29/09/2022,500,ערוץ 14,דירקט פולס,35,11,7,9,6,13,23,4,4,,4,4,,
132,30/09/2022,1433,מעריב,מנחם לזר,31,13,7,8,6,13,24,5,5,,4,4,,
133,01/10/2022,652,כאן חדשות,דודי חסיד,32,12,7,8,6,12,25,5,5,,4,4,,
134,02/10/2022,701,חדשות 13,קמיל פוקס,31,14,7,8,5,12,25,5,5,,4,4,,
135,03/10/2022,501,גלי צה״ל,מנו גבע,32,12,7,8,6,12,24,5,6,,4,4,,
136,06/10/2022,511,ישראל היום,יצחק כץ,32,13,7,8,5,11,24,6,6,,4,4,,
137,06/10/2022,715,ערוץ הכנסת,מנחם לזר,32,13,7,8,6,11,24,5,6,,4,4,,
138,06/10/2022,591,ערוץ 14,דירקט פולס,35,11,7,9,6,11,23,5,5,,4,4,,
139,07/10/2022,705,מעריב,מנחם לזר,32,14,7,8,6,12,23,5,5,,4,4,,
140,11/10/2022,649,כאן חדשות,דודי חסיד,32,13,7,8,6,12,24,5,5,,4,4,,
141,11/10/2022,500,חדשות 12,מנו גבע,31,13,7,8,6,12,24,5,6,,4,4,,
142,12/10/2022,700,103FM,מנחם לזר,32,13,7,8,6,11,25,5,5,,4,4,,
143,12/10/2022,712,ערוץ הכנסת,מנחם לזר,32,13,7,8,6,12,25,5,4,,4,4,,
144,13/10/2022,802,חדשות 13,קמיל פוקס,32,12,7,8,5,12,26,4,6,,4,4,,
145,13/10/2022,537,ערוץ 14,דירקט פולס,34,12,7,9,7,12,23,4,4,,4,4,,
146,14/10/2022,707,מעריב,מנחם לזר,32,13,7,8,6,12,24,5,5,,4,4,,
147,18/10/2022,651,כאן חדשות,דודי חסיד,31,14,7,8,7,11,25,4,5,,4,4,,
148,18/10/2022,510,חדשות 12,מנו גבע,30,14,7,8,6,12,25,5,5,,4,4,,
149,19/10/2022,712,ערוץ הכנסת,מנחם לזר,32,13,7,8,7,11,24,5,5,,4,4,,
150,20/10/2022,507,שידורי קשת,מנו גבע,31,14,7,8,6,11,24,5,6,,4,4,,
151,20/10/2022,847,ערוץ 14,דירקט פולס,34,12,7,9,6,13,23,4,4,,4,4,,
152,20/10/2022,801,חדשות 13,קמיל פוקס,32,13,7,8,5,11,26,5,5,,4,4,,
153,21/10/2022,712,מעריב,מנחם לזר,31,14,7,8,7,12,23,5,5,,4,4,,
154,24/10/2022,752,רשת ב,דודי חסיד,31,13,7,9,6,12,24,5,5,,4,4,,
155,24/10/2022,500,מעריב,מנחם לזר,32,14,7,8,6,12,23,5,5,,4,4,,
156,24/10/2022,1084,ערוץ 14,דירקט פולס,34,12,7,9,6,12,23,5,4,,4,4,,
157,24/10/2022,501,חדשות 12,מנו גבע,32,13,7,8,5,13,24,5,5,,4,4,,
158,25/10/2022,801,חדשות 13,קמיל פוקס,31,14,7,8,6,11,27,4,4,,4,4,,
159,25/10/2022,500,ערוץ הכנסת,מנחם לזר,31,14,7,8,6,12,24,5,5,,4,4,,
160,26/10/2022,700,גלי ישראל,רפי סמית,32,13,7,9,5,12,25,4,5,,4,4,,
161,26/10/2022,505,גלי צהל,מנו גבע,31,13,7,8,6,12,25,5,5,,4,4,,
162,27/10/2022,1200,ישראל היום,יצחק כץ,30,15,7,9,5,11,25,4,6,,4,4,,
163,27/10/2022,1301,כאן חדשות,דודי חסיד,31,14,7,8,6,11,24,5,6,,4,4,,
164,28/10/2022,500,מעריב,מנחם לזר,31,14,6,9,6,12,25,5,4,,4,4,,
165,28/10/2022,801,חדשות 13,קמיל פוקס,30,15,7,8,5,10,27,4,6,,4,4,,
166,28/10/2022,1007,חדשות 12,מנו גבע,31,14,7,8,6,11,25,5,5,,4,4,,
167,28/10/2022,500,גלי ישראל,רפי סמית,31,14,7,9,6,11,25,4,5,,4,4,,
