מספר הסקר,תאריך,משיבים,כלי תקשורת,עורך משאלים,הליכוד,תקווה חדשה,ימינה,הציונות הדתית,יהדות התורה,"ש""ס",ישראל ביתנו,כחול לבן,יש עתיד,הישראלים,מרצ,עבודה,המפלגה הכלכלית,המשותפת,"רע""מ"
46,11/12/2020,539,מעריב,מנחם לזר,29,21.0,15,,7,9,5,6,11,,5,0,0,12,
47,11/12/2020,525,ישראל היום,יצחק כץ,28,20.0,12,,7,9,6,7,12,,6,0,0,13,
48,15/12/2020,501,ערוץ 12,מנו גבע,27,21.0,13,,8,8,6,6,14,,6,0,0,11,
49,16/12/2020,521,103FM,מנחם לזר,27,20.0,14,,8,8,7,5,15,,5,0,0,11,
50,18/12/2020,513,103FM,יצחק כץ,27,20.0,11,,8,8,8,7,14,,6,0,0,11,
51,18/12/2020,541,מעריב,מנחם לזר,29,19.0,13,,8,8,7,7,13,,5,0,0,11,
52,20/12/2020,760,ערוץ 13,קמיל פוקס,28,19.0,14,,7,7,6,5,16,,7,0,0,11,
53,22/12/2020,530,ערוץ הכנסת,מנחם לזר,29,20.0,14,,7,8,7,6,13,,5,0,0,11,
54,22/12/2020,575,ערוץ 12,מנו גבע,29,18.0,13,,8,8,7,5,16,,5,0,0,11,
55,22/12/2020,550,ערוץ 11,קנטאר מדיה,28,20.0,15,,7,8,6,6,13,,6,0,0,11,
56,23/12/2020,514,103FM,מנחם לזר,28,18.0,14,,8,8,7,5,15,,6,0,0,11,
57,24/12/2020,523,103FM,מנחם לזר,25,22.0,15,,7,8,7,4,15,,6,0,0,11,
58,25/12/2020,530,מעריב,מנחם לזר,26,21.0,14,,7,8,7,4,15,,7,0,0,11,
59,27/12/2020,510,ערוץ 12,מנו גבע,28,19.0,13,,8,8,7,5,16,,5,0,0,11,
60,30/12/2020,520,103FM,מנחם לזר,26,17.0,13,,8,8,8,4,12,8.0,5,0,0,12,
61,30/12/2020,505,ערוץ 12,מנו גבע,28,17.0,12,,8,8,6,4,13,8.0,5,0,0,11,
62,30/12/2020,601,ערוץ 13,קמיל פוקס,29,17.0,12,,8,8,6,5,11,9.0,5,0,0,10,
63,30/12/2020,563,כאן חדשות,קנטאר מדיה,28,18.0,14,,7,8,5,4,13,8.0,4,0,0,11,
64,01/01/2021,531,מעריב,מנחם לזר,29,17.0,13,,8,8,7,0,14,8.0,5,0,0,11,
65,05/01/2021,500,ערוץ 12,מנו גבע,27,18.0,14,,8,8,6,5,13,6.0,5,0,0,10,
66,08/01/2021,527,מעריב,מנחם לזר,28,18.0,13,,7,8,7,4,14,6.0,5,0,0,10,
67,08/01/2021,687,ערוץ 13,קמיל פוקס,31,16.0,13,,7,7,6,4,16,5.0,5,0,0,10,
68,11/01/2021,505,103FM,מנחם לזר,27,17.0,14,4.0,7,8,7,4,13,5.0,4,0,0,10,
69,12/01/2021,508,ערוץ 12,מנו גבע,29,16.0,13,0.0,8,8,7,5,13,6.0,5,0,0,10,
70,14/01/2021,500,ערוץ 20,יצחק כץ,29,14.0,10,4.0,7,9,7,4,13,6.0,5,0,0,12,
71,15/01/2021,500,מעריב,מנחם לזר,32,17.0,12,0.0,8,8,7,5,14,0.0,6,0,0,11,
72,19/01/2021,509,103FM,מנחם לזר,30,17.0,11,4.0,6,8,7,4,14,4.0,5,0,0,10,
73,19/01/2021,504,ערוץ 12,מנו גבע,30,15.0,13,0.0,8,8,7,5,14,4.0,6,0,0,10,
74,22/01/2021,522,מעריב,מנחם לזר,31,16.0,11,0.0,8,8,7,4,16,4.0,5,0,0,10,
75,24/01/2021,694,ערוץ 13,קמיל פוקס,32,14.0,10,0.0,6,7,6,4,18,4.0,5,4,0,10,
76,24/01/2021,517,103FM,מנחם לזר,31,14.0,11,4.0,7,7,7,4,16,4.0,5,0,0,10,
77,26/01/2021,514,ערוץ 12,מנו גבע,29,15.0,14,0.0,8,8,7,4,16,0.0,5,4,0,10,
78,28/01/2021,504,ישראל היום,יצחק כץ,28,13.0,11,0.0,7,9,6,5,15,0.0,6,5,4,11,
79,29/01/2021,536,מעריב,מנחם לזר,30,14.0,12,0.0,8,8,7,4,18,0.0,5,4,0,10,
80,31/01/2021,505,ערוץ 12,מנו גבע,30,14.0,13,0.0,8,8,7,4,17,0.0,4,5,0,10,
81,02/02/2021,512,103FM,מנחם לזר,32,14.0,13,0.0,8,8,7,0,19,0.0,4,5,0,10,
82,01/02/2021,500,ערוץ 20,יצחק כץ,31,14.0,12,0.0,8,8,7,4,17,0.0,4,4,0,11,
83,02/02/2021,703,ערוץ 13,קמיל פוקס,29,16.0,10,0.0,8,7,7,4,16,0.0,5,8,0,10,
84,03/02/2021,510,וואלה,מנחם לזר,31,15.0,12,0.0,8,8,7,0,18,0.0,5,6,0,10,
85,04/02/2021,532,103FM,מנחם לזר,29,14.0,11,5.0,7,8,8,0,17,0.0,5,6,0,10,
86,05/02/2021,601,מעריב,מנחם לזר,29,16.0,11,4.0,7,8,8,0,16,,5,6,0,10,
87,05/02/2021,505,ערוץ 12,מנו גבע,29,14.0,11,4.0,7,8,7,4,17,,4,6,0,9,0.0
88,05/02/2021,702,ערוץ 13,קמיל פוקס,30,13.0,11,5.0,6,7,5,4,17,,4,7,0,7,4.0
89,08/02/2021,522,103FM,מנחם לזר,30,14.0,11,4.0,7,8,7,4,18,,4,5,0,8,0.0
90,08/02/2021,500,ערוץ 20,יצחק כץ,31,11.0,10,4.0,7,8,6,5,18,,4,6,0,10,0.0
91,09/02/2021,550,ערוץ 11,דודי חסיד,29,14.0,13,5.0,7,8,6,4,18,,0,7,0,9,0.0
92,10/02/2021,500,ערוץ 12,מנו גבע,28,13.0,11,5.0,7,8,7,4,18,,4,6,0,9,0.0
93,11/02/2021,505,ישראל היום,יצחק כץ,29,13.0,10,5.0,7,9,6,5,16,,5,5,0,10,0.0
94,12/02/2021,585,מעריב,מנחם לזר,28,13.0,12,4.0,7,8,7,4,19,,4,6,0,8,0.0
95,15/02/2021,527,103FM,מנחם לזר,29,14.0,13,5.0,7,8,7,0,18,,4,6,0,9,0.0
96,16/02/2021,703,ערוץ 13,קמיל פוקס,28,13.0,11,5.0,7,7,5,4,17,,5,6,0,8,4.0
97,16/02/2021,503,ערוץ 12,מנו גבע,29,13.0,10,5.0,7,8,7,4,18,,4,6,0,9,0.0
98,16/02/2021,1907,ערוץ 20,יצחק כץ,28,12.0,11,5.0,7,9,6,5,16,,4,6,0,11,0.0
99,19/02/2021,587,מעריב,מנחם לזר,28,15.0,12,5.0,7,8,8,0,18,,5,5,0,9,0.0
100,23/02/2021,506,ערוץ 12,מנו גבע,28,13.0,11,4.0,7,8,7,5,18,,4,6,0,9,0.0
101,24/02/2021,550,כאן חדשות,דודי חסיד,29,13.0,11,4.0,7,8,7,4,18,,4,6,0,9,0.0
102,24/02/2021,510,103FM,מנחם לזר,28,13.0,12,4.0,7,8,7,4,18,,4,6,0,9,0.0
103,25/02/2021,787,ערוץ 13,קמיל פוקס,27,13.0,11,4.0,7,7,6,4,18,,5,6,0,8,4.0
104,26/02/2021,593,מעריב,מנחם לזר,29,14.0,11,4.0,7,8,7,5,17,,4,5,0,9,0.0
105,01/03/2021,574,103FM,מנחם לזר,28,13.0,11,4.0,7,8,7,4,19,,4,6,0,9,0.0
106,02/03/2021,506,ערוץ 12,מנו גבע,28,14.0,12,5.0,6,8,7,5,19,,0,7,0,9,0.0
107,02/03/2021,705,ערוץ 13,קמיל פוקס,27,11.0,11,5.0,7,7,7,4,19,,4,6,0,8,4.0
108,04/03/2021,802,ערוץ 11,דודי חסיד,29,12.0,11,4.0,7,7,7,5,20,,0,6,0,8,4.0
109,05/03/2021,500,ישראל היום,יצחק כץ,29,11.0,10,4.0,7,8,7,5,17,,4,4,0,10,4.0
110,05/03/2021,571,מעריב,מנחם לזר,27,12.0,12,4.0,7,8,9,4,20,,4,5,0,8,0.0
111,07/03/2021,600,ערוץ 12,מנו גבע,29,12.0,12,4.0,7,8,7,5,20,,0,7,0,9,0.0
112,09/03/2021,591,103FM,מנחם לזר,28,11.0,12,4.0,6,8,8,5,20,,4,6,0,8,0.0
113,09/03/2021,710,ערוץ 13,קמיל פוקס,29,9.0,11,5.0,7,6,7,4,20,,4,6,0,8,4.0
114,10/03/2021,509,ערוץ 12,מנו גבע,28,11.0,13,4.0,7,8,7,4,19,,4,6,0,9,0.0
115,11/03/2021,550,ערוץ 11,דודי חסיד,29,11.0,12,4.0,7,8,7,5,19,,0,6,0,8,4.0
116,12/03/2021,879,ישראל היום,יצחק כץ,30,10.0,11,5.0,7,8,7,5,18,,4,6,0,9,0.0
117,12/03/2021,573,מעריב,מנחם לזר,27,10.0,11,4.0,7,8,8,4,20,,4,5,0,8,4.0
118,15/03/2021,707,ערוץ 13,קמיל פוקס,28,9.0,11,6.0,7,6,7,4,20,,4,6,0,8,4.0
119,16/03/2021,997,103FM,מנחם לזר,28,10.0,11,5.0,7,7,7,4,20,,4,5,0,8,4.0
1177,16/03/2021,500,ערוץ 20,יצחק כץ,30,8.0,11,6.0,7,8,8,5,18,,4,5,0,10,0.0
1178,16/03/2021,500,ערוץ 12,מנו גבע,30,10.0,10,4.0,7,8,7,4,18,,4,6,0,8,4.0
1179,18/03/2021,1406,כאן חדשות,דודי חסיד,31,9.0,9,5.0,7,8,7,4,19,,4,5,0,8,4.0
1180,18/03/2021,900,מאקו,רפי סמית,31,9.0,9,5.0,7,8,7,4,19,,4,5,0,8,4.0
1181,19/03/2021,2087,ישראל היום,יצחק כץ,29,10.0,10,5.0,7,9,8,4,18,,5,5,0,10,0.0
1182,19/03/2021,1001,מעריב,מנחם לזר,30,8.0,10,5.0,6,8,8,5,19,,4,5,0,8,4.0
1183,19/03/2021,1000,ערוץ 12,מנו גבע,32,9.0,9,4.0,7,8,7,4,18,,4,6,0,8,4.0
1184,19/03/2021,1103,ערוץ 13,קמיל פוקס,30,10.0,10,5.0,7,8,6,4,18,,4,6,0,8,4.0
